Designator,Mid X,Mid Y,Rotation,Layer
CN1,178.055,-132.135,180.0,top
LED1,59.055,-138.135,0.0,top
LED10,365.055,-138.135,0.0,top
LED11,59.055,-171.135,0.0,top
LED12,93.055,-171.135,0.0,top
LED13,127.055,-171.135,0.0,top
LED14,161.055,-171.135,0.0,top
LED15,195.055,-171.135,0.0,top
LED16,229.055,-171.135,0.0,top
LED17,263.055,-171.135,0.0,top
LED18,297.055,-171.135,0.0,top
LED19,331.055,-171.135,0.0,top
LED2,93.055,-138.135,0.0,top
LED20,365.055,-171.135,0.0,top
LED3,127.055,-138.135,0.0,top
LED4,161.055,-138.135,0.0,top
LED5,195.055,-138.135,0.0,top
LED6,229.055,-138.135,0.0,top
LED7,263.055,-138.135,0.0,top
LED8,297.055,-138.135,0.0,top
LED9,331.055,-138.135,0.0,top
R1,168.055,-144.135,180.0,top
R2,342.055,-138.135,180.0,top
R3,354.055,-138.135,0.0,top
R4,81.055,-171.135,0.0,top
